time_days,Np,Rp,Wp,Pressure_truth,Pressure_measured
0.0,0.0,650.0,0.0,3500.0,3505.545517920465
104.34782608695652,521739.1304347826,650.0,1288.9829235125585,3473.7321840965988,3469.5442992992625
208.69565217391303,1043478.2608695652,650.0,4173.7486501744115,3448.125269531824,3407.917285231876
313.04347826086956,1565217.3913043477,650.0,10127.995727143274,3423.1360060525503,3315.5281573671964
417.39130434782606,2086956.5217391304,650.0,21817.969208349223,3398.711354029953,3459.3039502729303
521.7391304347826,2608695.652173913,650.0,43972.87517905715,3374.7803085064606,3350.682153923341
626.0869565217391,3130434.7826086953,650.0,84800.3717381249,3351.2414811938975,3341.503653087368
730.4347826086956,3652173.913043478,650.0000000000001,158161.9379225405,3327.9443820545134,3283.80461901607
834.7826086956521,4173913.0434782607,649.9999999999989,286596.78236117144,3304.66424534593,3275.500360623469
939.1304347826086,4695652.173913043,649.9999999999225,504733.2077649156,3281.076353866868,3228.7999830704834
1043.4782608695652,5217391.304347826,649.999999988123,861212.9841298757,3256.748021476091,3253.046433642427
1147.8260869565217,5739130.434782608,649.9999990116399,1414831.0278876051,3231.2047569861575,3236.6981416573485
1252.1739130434783,6260869.565217391,649.9997880095827,2218938.1677462473,3205.057502113938,3192.1631765070874
1356.5217391304348,6782608.695652174,649.979969970119,3292819.8233416234,3185.2850385973843,3215.249820200587
1460.8695652173913,7304347.826086956,650.4325540769026,4594164.37352076,3167.299921742123,3095.893912524551
1565.2173913043478,7826086.956521739,651.3354098727758,6019832.735621334,3148.7570267326623,3194.19758643201
1669.5652173913043,8347826.0869565215,652.6199369856661,7445182.003266608,3130.3378422530536,3080.4161138755953
1773.9130434782608,8869565.217391305,654.2158164525387,8773630.572849806,3112.5381060456193,3091.810908960129
1878.2608695652173,9391304.347826086,656.056327191663,9960119.926936936,3095.5658504293206,3050.476940558429
1982.6086956521738,9913043.47826087,658.0841302178547,11003289.811354738,3079.4056436584738,3052.8956177598843
2086.9565217391305,10434782.608695652,660.2537000409393,11925145.932244431,3063.92904638297,3041.2081007617967
2191.304347826087,10956521.739130434,662.5308046672292,12754217.717929149,3048.9809985826173,3072.0616778348644
2295.6521739130435,11478260.869565217,664.8904509477941,13516592.987807263,3034.4236553850756,3155.774304774178
2400.0,12000000.0,667.3145535969842,14232854.643187614,3020.150004212367,2969.0460710590296
