time_days,Np,Rp,Wp,Pressure_truth,Pressure_measured
0.0,0.0,650.0,0.0,3500.0,3468.275100993684
104.34782608695652,521739.1304347826,650.0,1288.9829235125585,3451.0596439804344,3460.6824953219652
208.69565217391303,1043478.2608695652,650.0,4173.7486501744115,3405.02665850624,3329.1736045222774
313.04347826086956,1565217.3913043477,650.0,10127.995727143274,3361.600251426273,3417.431119830621
417.39130434782606,2086956.5217391304,650.0,21817.969208349223,3320.4963600490246,3346.028149686153
521.7391304347826,2608695.652173913,649.9999999999942,43972.87517905715,3281.4269745380743,3269.7450751293
626.0869565217391,3130434.7826086953,649.9999999817304,84800.3717381249,3244.0784218249964,3231.6004486973893
730.4347826086956,3652173.913043478,649.9999752412996,158161.9379225405,3209.228562582592,3221.3819772937445
834.7826086956521,4173913.0434782607,649.9817692379812,286596.78236117144,3188.6219514856366,3177.915539397463
939.1304347826086,4695652.173913043,650.5203930744551,504733.2077649156,3173.2021235704,3164.1657691238715
1043.4782608695652,5217391.304347826,651.6132265447936,861212.9841298757,3157.022691716242,3185.825404516607
1147.8260869565217,5739130.434782608,653.1355295990601,1414831.0278876051,3139.5894319000727,3160.1776401310235
1252.1739130434783,6260869.565217391,655.0243360298008,2218938.1677462473,3120.5687095794506,3118.0035921540834
1356.5217391304348,6782608.695652174,657.246978487293,3292819.8233416234,3099.8808448347054,3096.461782307271
1460.8695652173913,7304347.826086956,659.7824970008548,4594164.37352076,3077.8745716112544,3084.31122451788
1565.2173913043478,7826086.956521739,662.6055494100872,6019832.735621334,3055.293755174836,3030.7330193940797
1669.5652173913043,8347826.0869565215,665.6772692923929,7445182.003266608,3032.987559778256,3016.837549192005
1773.9130434782608,8869565.217391305,668.9466373122445,8773630.572849806,3011.57748939892,3033.507896607177
1878.2608695652173,9391304.347826086,672.3592777463869,9960119.926936936,2991.32136831796,2986.1020565923254
1982.6086956521738,9913043.47826087,675.8665118119571,11003289.811354738,2972.1869206139313,2917.209873586862
2086.9565217391305,10434782.608695652,679.430112186893,11925145.932244431,2953.997220950581,2934.9060721652527
2191.304347826087,10956521.739130434,683.0227415372143,12754217.717929149,2936.543295954168,2962.8081601659096
2295.6521739130435,11478260.869565217,686.6260907134783,13516592.987807263,2919.6405576710417,2910.3492467877104
2400.0,12000000.0,690.2284593665707,14232854.643187614,2903.1458515243585,2897.1965391149056
