time_days,Np,Rp,Wp,Pressure_truth,Pressure_measured
0.0,0.0,650.0,0.0,3500.0,3460.343876242105
104.34782608695652,521739.1304347826,650.0,1288.9829235125585,3448.2650740761437,3460.2936382530575
208.69565217391303,1043478.2608695652,650.0,4173.7486501744115,3404.557335670834,3309.741018190881
313.04347826086956,1565217.3913043477,650.0,10127.995727143274,3367.1351952035907,3436.9237807090253
417.39130434782606,2086956.5217391304,650.0,21817.969208349223,3334.6113023378543,3366.526039384265
521.7391304347826,2608695.652173913,650.0,43972.87517905715,3305.768496477483,3291.166122216515
626.0869565217391,3130434.7826086953,650.0,84800.3717381249,3279.397197927753,3263.7997315182442
730.4347826086956,3652173.913043478,650.0000000000001,158161.9379225405,3254.12349133584,3269.3152597247804
834.7826086956521,4173913.0434782607,650.0000000000001,286596.78236117144,3228.223605758537,3214.84059064832
939.1304347826086,4695652.173913043,650.0000000000001,504733.2077649156,3203.222590225252,3191.9271471670913
1043.4782608695652,5217391.304347826,649.9853100027414,861212.9841298757,3194.432222601473,3230.4356136019287
1147.8260869565217,5739130.434782608,650.1891461320648,1414831.0278876051,3184.716802012519,3210.4520623012077
1252.1739130434783,6260869.565217391,650.7273547867293,2218938.1677462473,3173.877267679542,3170.6708708978326
1356.5217391304348,6782608.695652174,651.5299133590762,3292819.8233416234,3159.3649371714846,3155.0911090121913
1460.8695652173913,7304347.826086956,652.660521378688,4594164.37352076,3142.292185749863,3150.3380018831454
1565.2173913043478,7826086.956521739,654.1263201955019,6019832.735621334,3123.920092264628,3093.2191725386824
1669.5652173913043,8347826.0869565215,655.8989648193632,7445182.003266608,3105.717472243069,3085.5299590102554
1773.9130434782608,8869565.217391305,657.9198883409651,8773630.572849806,3088.780316555012,3116.193325565333
1878.2608695652173,9391304.347826086,660.1175779167924,9960119.926936936,3073.5851913360475,3067.0610516790043
1982.6086956521738,9913043.47826087,662.424911162397,11003289.811354738,3060.1063380910323,2991.385029307196
2086.9565217391305,10434782.608695652,664.7887720686429,11925145.932244431,3048.061752616637,3024.197816634977
2191.304347826087,10956521.739130434,667.1719114062629,12754217.717929149,3037.1068401331313,3069.9379203978083
2295.6521739130435,11478260.869565217,669.55054476332,13516592.987807263,3026.9334087527313,3015.3192701485673
2400.0,12000000.0,671.9107442376372,14232854.643187614,3017.301038547673,3009.864398035857
